date_,id_wod
2019-08-22,18
2019-08-09,11
2020-02-29,11
2019-07-22,13
2019-06-27,15
2020-01-11,2
2019-12-30,22
2019-10-05,3
2019-11-28,4
2019-11-26,13
2019-05-04,24
2019-06-06,15
2019-08-13,21
2019-08-16,2
2019-09-29,9
2019-11-30,5
2019-03-30,20
2020-03-23,16
2019-08-10,18
2019-10-26,2
2019-05-09,13
2019-05-03,1
2019-08-07,10
2019-03-31,1
2019-09-22,1
2020-01-13,19
2019-10-02,20
2019-10-27,23
2019-02-28,8
2019-09-06,15
2019-07-25,2
2019-05-24,6
2019-02-06,15
2019-06-11,8
2020-03-22,21
2019-12-15,19
2019-02-05,21
2019-07-17,2
2019-02-10,8
2019-04-02,4
2020-03-20,3
2019-08-30,9
2019-03-15,11
2019-01-28,19
2019-07-29,2
2019-08-31,2
2019-12-03,17
2019-03-30,11
2019-05-11,10
2019-04-19,16
